epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.291,0,23.6768,0,0.04571,0.50928,0.1578,0.05803,2.22061,3.1799,0.95183,4e-05,4e-05,4e-05
2,30.5232,0,14.3715,0,0.04336,0.48276,0.05687,0.02053,2.39448,3.66939,0.97371,9.802e-05,9.802e-05,9.802e-05
3,45.4841,0,11.0685,0,0.03625,0.40053,0.03558,0.01178,2.53794,5.54889,0.99334,0.000153664,0.000153664,0.000153664
4,62.256,0,9.6646,0,0.01398,0.12732,0.01174,0.00368,2.50431,5.14433,1.03227,0.000206932,0.000206932,0.000206932
5,78.2885,0,6.70338,0,0.00266,0.01592,0.00141,0.0007,2.78739,9.40834,1.15875,0.000257824,0.000257824,0.000257824
6,93.4806,0,4.48332,0,0.00266,0.01592,0.00141,0.0007,2.96788,56.1789,1.23983,0.00030634,0.00030634,0.00030634
7,108.556,0,3.26912,0,0.00266,0.01592,0.00141,0.0007,3.46568,654.145,1.34356,0.00035248,0.00035248,0.00035248
8,124.288,0,4.06269,0,0.00266,0.01592,0.00141,0.0007,3.59039,1154.04,1.38885,0.000396244,0.000396244,0.000396244
9,139.842,0,2.66031,0,0.00266,0.01592,0.00141,0.0007,3.74544,202.329,1.4058,0.000437632,0.000437632,0.000437632
10,155.036,0,2.05835,0,0.00266,0.01592,0.00141,0.0007,3.80164,48.1335,1.33874,0.000476644,0.000476644,0.000476644
11,170.22,0,1.36581,0,0.00266,0.01592,0.00141,0.0007,3.57585,41.3626,1.35169,0.00051328,0.00051328,0.00051328
12,185.787,0,1.58836,0,0.00266,0.01592,0.00141,0.0007,3.81354,92.6125,1.42196,0.00054754,0.00054754,0.00054754
13,201.394,0,0.88013,0,0.00266,0.01592,0.00141,0.0007,4.02586,159.419,1.62985,0.000579424,0.000579424,0.000579424
14,216.972,0,0.67101,0,0.00266,0.01592,0.00141,0.0007,3.99466,552.527,1.53761,0.000608932,0.000608932,0.000608932
15,335.565,0,0.50599,0,0.00266,0.01592,0.00141,0.0007,4.65792,107780,1.75549,0.000636064,0.000636064,0.000636064
16,350.262,0,0.38405,0,0.00266,0.01592,0.00141,0.0007,4.37317,49121.4,1.47602,0.00066082,0.00066082,0.00066082
17,365.141,0,0.31074,0,0.00266,0.01592,0.00141,0.0007,4.05065,8.69424,1.56626,0.0006832,0.0006832,0.0006832
18,380.314,0,0.28685,0,0.00266,0.01592,0.00141,0.0007,4.63342,9.09981,1.69513,0.000703204,0.000703204,0.000703204
19,395.386,0,0.41978,0,0.00266,0.01592,0.00141,0.0007,5.60703,54.534,2.03111,0.000720832,0.000720832,0.000720832
20,410.615,0,0.26511,0,0.00671,0.00531,0.00161,0.00016,5.67794,2246.64,2.91793,0.000736084,0.000736084,0.000736084
21,425.665,0,0.21999,0,0.00671,0.00531,0.00161,0.00016,6.16693,25811.6,2.50891,0.00074896,0.00074896,0.00074896
22,441.137,0,0.16563,0,0.00671,0.00531,0.00161,0.00016,6.6579,125.382,4.70796,0.00075946,0.00075946,0.00075946
