epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7845,0,23.6768,0,0.04595,0.50923,0.15747,0.05785,2.22937,3.17942,0.95502,4e-05,4e-05,4e-05
2,29.5852,0,14.3715,0,0.0436,0.48285,0.05688,0.0205,2.40056,3.66807,0.97552,9.802e-05,9.802e-05,9.802e-05
3,44.137,0,11.0685,0,0.03649,0.40106,0.03564,0.01179,2.54271,5.54122,0.99453,0.000153664,0.000153664,0.000153664
4,58.6726,0,9.6646,0,0.01398,0.12665,0.01174,0.00368,2.51317,5.13671,1.0338,0.000206932,0.000206932,0.000206932
5,73.6377,0,6.70338,0,0.00266,0.01583,0.00141,0.0007,2.7875,9.38837,1.158,0.000257824,0.000257824,0.000257824
6,88.5319,0,4.48332,0,0.00266,0.01583,0.00141,0.0007,2.97797,56.0245,1.24376,0.00030634,0.00030634,0.00030634
7,103.532,0,3.26912,0,0.00266,0.01583,0.00141,0.0007,3.4778,651.328,1.34895,0.00035248,0.00035248,0.00035248
8,118.214,0,4.06269,0,0.00266,0.01583,0.00141,0.0007,3.59857,1150.5,1.39296,0.000396244,0.000396244,0.000396244
9,133.269,0,2.66031,0,0.00266,0.01583,0.00141,0.0007,3.74719,202.204,1.40685,0.000437632,0.000437632,0.000437632
10,148.21,0,2.05835,0,0.00266,0.01583,0.00141,0.0007,3.80164,48.1335,1.33875,0.000476644,0.000476644,0.000476644
11,163.586,0,1.36581,0,0.00266,0.01583,0.00141,0.0007,3.58415,41.2014,1.35408,0.00051328,0.00051328,0.00051328
12,178.723,0,1.58836,0,0.00266,0.01583,0.00141,0.0007,3.81676,91.9315,1.423,0.00054754,0.00054754,0.00054754
13,194.139,0,0.88013,0,0.00266,0.01583,0.00141,0.0007,4.03472,158.869,1.63514,0.000579424,0.000579424,0.000579424
