epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2221.59,1.668,0.75661,1.03755,0.9143,0.91358,0.92723,0.46287,1.71258,0.6805,1.05714,2.94644e-05,2.94644e-05,2.94644e-05
40,2267.67,1.70164,0.76294,1.06733,0.9143,0.91358,0.92723,0.46287,1.71258,0.6805,1.05714,2.71082e-05,2.71082e-05,2.71082e-05
41,2312.57,1.73477,0.85438,1.05613,0.91069,0.9127,0.92728,0.46323,1.70793,0.67504,1.05569,2.4752e-05,2.4752e-05,2.4752e-05
42,2357.79,1.7588,0.90816,1.10291,0.91069,0.9127,0.92728,0.46323,1.70793,0.67504,1.05569,2.23958e-05,2.23958e-05,2.23958e-05
43,2403.76,1.76747,0.83584,1.13459,0.90754,0.91358,0.92772,0.46402,1.70056,0.66897,1.05348,2.00396e-05,2.00396e-05,2.00396e-05
44,2449.56,1.7322,0.76074,1.07947,0.90673,0.90947,0.9257,0.46577,1.69247,0.66819,1.05221,1.76834e-05,1.76834e-05,1.76834e-05
45,2500.18,1.72043,0.73479,1.10753,0.90673,0.90947,0.9257,0.46577,1.69247,0.66819,1.05221,1.53272e-05,1.53272e-05,1.53272e-05
46,2546.68,1.72315,0.75045,1.09794,0.90654,0.91255,0.92533,0.46671,1.68499,0.66793,1.05138,1.2971e-05,1.2971e-05,1.2971e-05
47,2593.48,1.71536,0.85341,1.08421,0.90496,0.91152,0.92328,0.46757,1.6807,0.6688,1.05246,1.06148e-05,1.06148e-05,1.06148e-05
48,2642.12,1.69279,0.70809,1.11979,0.90496,0.91152,0.92328,0.46757,1.6807,0.6688,1.05246,8.2586e-06,8.2586e-06,8.2586e-06
49,2687.99,1.70744,0.74112,1.10914,0.90759,0.90943,0.92509,0.46977,1.67736,0.6694,1.05242,5.9024e-06,5.9024e-06,5.9024e-06
50,2733.19,1.7186,0.79818,1.07696,0.90759,0.90943,0.92509,0.46977,1.67736,0.6694,1.05242,3.5462e-06,3.5462e-06,3.5462e-06
