epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9718.49,1.91169,2.01821,1.28149,0,0,0,0,0,22431.6,0,0.00021671,0.00021671,0.00021671
2,11340.7,1.54218,0.9266,1.08188,0,0,0,0,0,14136.6,0,0.000405531,0.000405531,0.000405531
3,85520.4,1.52225,0.86016,1.06642,0,0,0,0,0,10777.8,0,0.000548143,0.000548143,0.000548143
4,86391.7,1.51421,0.88827,1.05201,0,0,0,0,0,6271.47,0,0.000644546,0.000644546,0.000644546
5,87580.4,1.42362,0.80791,1.02451,0,0,0,0,0,6224.95,0,0.000694739,0.000694739,0.000694739
6,91578,1.39095,0.76879,1.00927,0,0,0,0,0,3799.43,0,0.000698723,0.000698723,0.000698723
7,92575.4,1.43135,0.78864,1.03133,0,0,0,0,0,3312.03,0,0.000656498,0.000656498,0.000656498
8,93455.7,1.3682,0.73251,0.99898,0,0,0,0,0,3478.67,0,0.000511769,0.000511769,0.000511769
9,94309.6,1.33638,0.71355,0.98336,0,0,0,0,0,2711.44,0,0.000346736,0.000346736,0.000346736
10,95346.4,1.27886,0.6684,0.97447,0,0,0,0,0,2925.27,0,0.000181703,0.000181703,0.000181703
